loc,cyclomatic_complexity,essential_complexity,design_complexity,total_operators,total_operands,halstead_length,halstead_vocabulary,halstead_volume,halstead_difficulty,halstead_effort,defects
145,10,7,5,49,36,85,13,315.2,2.3,724.96,0
222,18,14,10,82,64,146,17,627.5,3.6,2259.0,1
97,6,4,3,30,22,52,10,180.2,2.0,360.4,0
322,27,21,15,126,93,219,25,970.6,4.5,4367.7,1
121,8,6,4,40,30,70,12,260.1,2.1,546.21,0
176,15,12,8,68,52,120,16,495.1,3.1,1534.81,1
160,11,8,5,53,39,92,14,340.7,2.5,851.75,0
235,19,15,11,86,67,153,18,655.4,3.8,2490.52,1
108,7,5,3,34,26,60,11,208.3,2.1,437.43,0
335,28,22,16,131,98,229,27,1045.8,4.8,5021.84,1
130,9,7,4,45,34,79,12,295.6,2.2,650.32,0
188,15,12,8,73,57,130,17,545.9,3.3,1801.47,1
155,12,9,6,54,40,94,14,355.1,2.6,923.26,0
230,20,16,12,92,72,164,20,720.3,3.9,2809.17,1
110,8,6,4,37,29,66,11,245.8,2.2,540.76,0
340,29,23,17,133,100,233,27,1052.6,4.9,5157.74,1
132,10,8,5,47,36,83,13,308.7,2.3,710.01,0
190,16,13,9,74,58,132,17,555.2,3.4,1887.68,1
150,11,8,5,52,37,89,13,332.1,2.4,797.04,0
218,19,15,11,83,64,147,18,632.7,3.6,2277.72,1
95,6,4,3,30,22,52,10,180.4,2.0,360.8,0
320,27,21,15,125,92,217,25,950.7,4.5,4278.15,1
120,8,6,4,40,30,70,12,260.3,2.1,546.63,0
180,15,12,8,70,54,124,16,520.6,3.2,1665.92,1
155,11,8,5,53,39,92,14,340.2,2.3,782.46,0
225,19,15,11,85,66,151,18,648.9,3.7,2404.93,1
100,7,5,3,32,24,56,11,192.8,2.2,424.16,0
330,28,22,16,130,97,227,26,1023.4,4.7,4810.98,1
140,10,8,5,50,38,88,13,328.4,2.4,788.16,0
200,17,13,9,78,60,138,18,598.4,3.4,2034.56,1
115,8,6,4,38,29,67,11,249.3,2.1,523.53,0
310,25,20,14,118,90,208,24,900.2,4.2,3780.84,1
170,13,10,7,66,50,116,15,478.2,2.9,1386.78,1
130,9,7,4,46,34,80,12,298.7,2.3,687.01,0
215,18,14,10,82,63,145,17,623.1,3.6,2243.16,1
105,7,5,3,34,25,59,10,203.5,2.0,407.0,0
315,27,21,15,127,94,221,25,998.6,4.6,4593.56,1
125,9,7,4,44,33,77,12,287.4,2.2,632.28,0
185,15,12,8,72,56,128,16,538.9,3.2,1724.48,1
142,10,7,5,49,36,85,13,315.6,2.3,726.88,0
225,20,16,12,88,68,156,19,700.4,3.9,2731.56,1
108,7,5,3,35,26,61,11,210.7,2.1,442.47,0
340,29,23,17,132,99,231,27,1040.3,4.8,4993.44,1
128,9,7,4,43,32,75,12,280.9,2.2,617.98,0
140,11,8,5,51,38,89,13,320.2,2.4,768.48,0
220,19,15,11,84,65,149,18,640.7,3.7,2370.59,1
102,7,5,3,32,24,56,10,192.4,2.1,403.04,0
330,28,22,16,129,96,225,26,990.5,4.7,4655.35,1
126,9,7,4,43,33,76,12,285.6,2.2,628.32,0
182,15,12,8,71,55,126,16,530.8,3.2,1698.56,1
148,10,7,5,50,37,87,13,310.4,2.3,713.92,0
225,18,14,10,81,63,144,17,620.1,3.6,2232.36,1
99,6,4,3,31,23,54,10,186.7,2.0,373.4,0
328,27,21,15,127,94,221,25,980.3,4.6,4509.38,1
122,8,6,4,41,31,72,12,265.2,2.1,556.92,0
178,15,12,8,69,53,122,16,510.7,3.1,1583.17,1
160,11,8,5,53,39,92,14,340.7,2.5,851.75,0
235,19,15,11,86,67,153,18,655.4,3.8,2490.52,1
108,7,5,3,34,26,60,11,208.3,2.1,437.43,0
335,28,22,16,131,98,229,27,1045.8,4.8,5021.84,1
130,9,7,4,45,34,79,12,295.6,2.2,650.32,0
188,15,12,8,73,57,130,17,545.9,3.3,1801.47,1
155,12,9,6,54,40,94,14,355.1,2.6,923.26,0
